"ligand","smiles"
"LGAJOMLFGCSBFF-OLXDQKQCSA-N"," COc1ccc2c(c1)c(CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O)c(C)n2C(=O)c1ccc(Cl)cc1"
"ZPMKQFOGINQDAM-UHFFFAOYSA-N"," CN(C)(=O)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12"
"KRMDCWKBEZIMAB-UHFFFAOYSA-N"," CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12"
"UDMBCSSLTHHNCD-KQYNXXCUSA-N"," NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1"
"JURKNVYFZMSNLP-UHFFFAOYSA-N"," CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12"
"MFBCDACCJCDGBA-UHFFFAOYSA-N"," CC(C)(C)C1=CC(=CC=C1N1CCCC1)C1=CC(=CC=C1OCCO)C1=CC=C(C=C1)C(O)=O"
"JEIPFZHSYJVQDO-UHFFFAOYSA-N"," O=[Fe]O[Fe]=O"
"RVMGXWBCQGAWBR-UHFFFAOYSA-N"," O=C(O)c1cc(=O)c2ccccc2o1"
"PHOQVHQSTUBQQK-SQOUGZDYSA-N"," OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O"
"UVKZSORBKUEBAZ-UHFFFAOYSA-N"," CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1"
"RQNADZJRELIICT-UHFFFAOYSA-N"," Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N"
"XRVCFZPJAHWYTB-UHFFFAOYSA-N"," CCC(CC)(CO)CO"
"ZCXUVYAZINUVJD-AHXZWLDOSA-N"," OC[C@H]1O[C@H](O)[C@H]([18F])[C@@H](O)[C@@H]1O"
"IKWTVSLWAPBBKU-UHFFFAOYSA-N"," O=[As]O[As]=O"
"WDSCBUNMANHPFH-UHFFFAOYSA-N"," CC(=O)NCCCCCC(=O)O"
"RTRQQBHATOEIAF-UUOKFMHZSA-N"," [H][C@]1(CO)O[C@]([H])([C@H](O)[C@@H]1O)N1C=NC(C(N)=O)=C1N"
"COLNVLDHVKWLRT-QMMMGPOBSA-N"," N[C@@H](CC1=CC=CC=C1)C(O)=O"
"ZQPPMHVWECSIRJ-KTKRTIGZSA-N"," CCCCCCCC\C=C\CCCCCCCC(O)=O"
"DHMQDGOQFOQNFH-UHFFFAOYSA-N"," NCC(O)=O"
"PMTSPAGBAFCORP-HBUONDEYSA-N"," CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O"
"KZTZJUQNSSLNAG-UHFFFAOYSA-N"," NCCO[N+]([O-])=O"
"AYFVYJQAPQTCCC-GBXIJSLDSA-N"," C[C@@H](O)[C@H](N)C(O)=O"
"OCAXFDULERPAJM-BQJUDKOJSA-N"," CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2"
"FDMBBCOBEAVDAO-AWEZNQCLSA-N"," CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1"
"JMOVFFLYGIQXMM-UHFFFAOYSA-N"," CC1=C2C=CC=NC2=C(O)C(Br)=C1"
"YFDSDPIBEUFTMI-UHFFFAOYSA-N"," OCC(Br)(Br)Br"
